Movie,Rating,Genre,Director,Actor1,Actor2,Budget,Revenue_US,Revenue_World,Date
Survivor,5.6,Action,James McTeigue,Milla Jovovich,Pierce Brosnan,20000000,0,1703281,29-May-15
Suspect Zero,5.8,Crime,E. Elias Merhige,Aaron Eckhart,Ben Kingsley,27000000,8712564,8712564,27-Aug-04
Suspiria,6.8,Fantasy,Luca Guadagnino,Chlo��_��_ Grace Moretz,Tilda Swinton,20000000,2483472,7023292,26-Oct-18
Sweet Home Alabama,6.2,Comedy,Andy Tennant,Reese Witherspoon,Patrick Dempsey,38000000,127214072,182365114,27-Sep-02
Sweet November,6.7,Drama,Pat O'Connor,Keanu Reeves,Charlize Theron,40000000,25288103,65754228,16-Feb-01
Swept Away,3.6,Comedy,Guy Ritchie,Madonna,Adriano Giannini,10000000,598645,598645,11-Oct-02
Swimfan,5,Drama,John Polson,Jesse Bradford,Erika Christensen,10000000,28564995,34084228,6-Sep-02
Swimming Pool,6.7,Crime,Francois Ozon,Charlotte Rampling,Charles Dance,7800000,10130108,24021282,4-Jul-03
Swing Vote,6.1,Comedy,Joshua Michael Stern,Kevin Costner,Paula Patton,21000000,16289867,17589867,1-Aug-08
Swiss Army Man,7,Comedy,Daniel Scheinert,Dan Kwan,Daniel Radcliffe,3000000,4210454,5837111,24-Jun-16
Swordfish,6.5,Action,Dominic Sena,John Travolta,Hugh Jackman,80000000,69772969,147080413,8-Jun-01
Sydney White,6.2,Comedy,Joe Nussbaum,Amanda Bynes,Sara Paxton,16500000,11892415,13636339,21-Sep-07
"Synecdoche, New York",7.6,Comedy,Charlie Kaufman,Philip Seymour Hoffman,Samantha Morton,20000000,3083538,4383538,24-Oct-08
Syriana,6.9,Drama,Stephen Gaghan,George Clooney,Matt Damon,50000000,50824620,92690959,23-Nov-05
Table 19,5.8,Comedy,Jeffrey Blitz,Anna Kendrick,Lisa Kudrow,5000000,3614896,4620399,3-Mar-17
Tadpole,6.2,Comedy,Gary Winick,Sigourney Weaver,Aaron Stanford,150000,2891288,3270128,19-Jul-02
Tag,6.5,Comedy,Jeff Tomsic,Jeremy Renner,Ed Helms,28000000,54730625,77026186,15-Jun-18
Take Me Home Tonight,6.3,Comedy,Michael Dowse,Topher Grace,Anna Faris,19000000,6928068,7576604,4-Mar-11
Take Shelter,7.4,Drama,Jeff Nichols,Michael Shannon,Jessica Chastain,4750000,1728953,4972016,30-Sep-11
Take the Lead,6.6,Drama,Liz Friedlander,Antonio Banderas,Rob Brown,30000000,34742066,65390493,7-Apr-06
Taken,7.8,Action,Pierre Morel,Liam Neeson,Maggie Grace,25000000,145000989,226941585,30-Jan-09
Taken 2,6.3,Action,Olivier Megaton,Liam Neeson,Famke Janssen,45000000,139854287,377807404,5-Oct-12
Taken 3,6,Action,Olivier Megaton,Liam Neeson,Forest Whitaker,48000000,89256424,327656424,9-Jan-15
Takers,6.2,Action,John Luessenhop,Chris Brown,Hayden Christensen,32000000,57744720,70587268,27-Aug-10
Taking Woodstock,6.7,Biography,Ang Lee,Demetri Martin,Henry Goodman,29000000,7460204,10066366,26-Aug-09
Talladega Nights: The Ballad of Ricky Bobby,6.6,Comedy,Adam McKay,Will Ferrell,John C. Reilly,73000000,148213377,162870525,4-Aug-06
Tammy,4.9,Comedy,Ben Falcone,Melissa McCarthy,Susan Sarandon,20000000,84525432,96407655,2-Jul-14
Tangled,7.7,Animation,Byron Howard,Nathan Greno,Zachary Levi,260000000,200821936,586477240,24-Nov-10
Tarzan,4.8,Animation,Reinhard Klooss,Kellan Lutz,Spencer Locke,145000000,171091819,448191819,16-Jun-99
Tau ming chong,7,Action,Wai Man Yip,Peter Ho-Sun Chan,Andy Lau,4000000,129078,38899792,2-Apr-10
Taxi 4,5.6,Action,Gerard Krawczyk,Samy Naceri,Frederic Diefenthal,17500000,0,60865364,31-Dec-07
Team America: World Police,7.2,Action,Trey Parker,Trey Parker,Matt Stone,20000000,32774834,50948811,15-Oct-04
Tears of the Sun,6.6,Action,Antoine Fuqua,Bruce Willis,Cole Hauser,75000000,43632458,85632458,7-Mar-03
Ted,6.9,Comedy,Seth MacFarlane,Mark Wahlberg,Mila Kunis,50000000,218665740,556016627,29-Jun-12
