Movie,Rating,Genre,Director,Actor1,Actor2,Budget,Revenue_US,Revenue_World,Date
Nightmare Cinema,5.5,Horror,Joe Dante,Alejandro BruguÃ©s,RyÃ»hei Kitamura,0,0,0,0
Timecop,5.9,Action,Peter Hyams,Jean-Claude Van Damme,Mia Sara,0,0,0,0
You Get Me,4.7,Crime,Brent Bonacorso,Bella Thorne,Halston Sage,0,0,0,0
Invincible,7.1,Biography,Ericson Core,Mark Wahlberg,Greg Kinnear,0,0,0,0
Perfect,4.6,Drama,James Bridges,John Travolta,Jamie Lee Curtis,0,0,0,0
Vacancy,6.2,Horror,NimrÃ³d Antal,Kate Beckinsale,Luke Wilson,0,0,0,0
Diary of a Wimpy Kid: Dog Days,6.3,Comedy,David Bowers,Zachary Gordon,Robert Capron,0,0,0,0
Message from the King,6.4,Action,Fabrice du Welz,Chadwick Boseman,Luke Evans,0,0,0,0
Kill Bill: The Whole Bloody Affair,8.8,Action,Quentin Tarantino,Uma Thurman,Vivica A. Fox,0,0,0,0
Frantic,6.9,Crime,Roman Polanski,Harrison Ford,Betty Buckley,0,0,0,0
Tuck Everlasting,6.6,Drama,Jay Russell,Alexis Bledel,Jonathan Jackson,0,0,0,0
I Kill Giants,6.1,Drama,Anders Walter,Madison Wolfe,Zoe Saldana,0,0,0,0
MI-5,6.2,Action,Bharat Nalluri,Kit Harington,Peter Firth,0,0,0,0
Star Trek V: The Final Frontier,5.5,Action,William Shatner,William Shatner,Leonard Nimoy,0,0,0,0
Far from Heaven,7.3,Drama,Todd Haynes,Julianne Moore,Dennis Quaid,0,0,0,0
Bringing Out the Dead,6.9,Drama,Martin Scorsese,Nicolas Cage,Patricia Arquette,0,0,0,0
Maurice,7.7,Drama,James Ivory,James Wilby,Rupert Graves,0,0,0,0
Mimic,6,Horror,Guillermo del Toro,Mira Sorvino,Jeremy Northam,0,0,0,0
Hope Floats,6.1,Drama,Forest Whitaker,Sandra Bullock,Harry Connick Jr.,0,0,0,0
Black or White,6.6,Drama,Mike Binder,Kevin Costner,Octavia Spencer,0,0,0,0
The Nines,6.3,Drama,John August,Ryan Reynolds,Hope Davis,0,0,0,0
Miss Congeniality 2: Armed & Fabulous,5.1,Action,John Pasquin,Sandra Bullock,Regina King,0,0,0,0
By the Sea,5.3,Drama,Angelina Jolie,Brad Pitt,Angelina Jolie,0,0,0,0
Triple Threat,5.6,Action,Jesse V. Johnson,Tony Jaa,Tiger Hu Chen,0,0,0,0
Hardbodies,4.9,Comedy,Mark Griffiths,Grant Cramer,Teal Roberts,0,0,0,0
Black Christmas,3.4,Horror,Sophia Takal,Imogen Poots,Aleyse Shannon,0,0,0,0
Beomjoidosi,7.2,Action,Yoon-Seong Kang,Ma Dong-seok,Yoon Kyesang,0,0,0,0
Stronger,6.9,Biography,David Gordon Green,Jake Gyllenhaal,Tatiana Maslany,0,0,0,0
The Stepford Wives,5.3,Comedy,Frank Oz,Nicole Kidman,Bette Midler,0,0,0,0
Planes,5.7,Animation,Klay Hall,Carlos Alazraqui,Dane Cook,0,0,0,0
Mirrors,6.2,Horror,Alexandre Aja,Kiefer Sutherland,Paula Patton,0,0,0,0
Step Up 2: The Streets,6.2,Drama,Jon M. Chu,Robert Hoffman,Briana Evigan,0,0,0,0
Night Shift,6.6,Comedy,Ron Howard,Henry Winkler,Michael Keaton,0,0,0,0
United 93,7.5,Action,Paul Greengrass,David Alan Basche,Olivia Thirlby,0,0,0,0
Beginners,7.2,Comedy,Mike Mills,Ewan McGregor,Christopher Plummer,0,0,0,0
ParaNorman,7,Animation,Sam Fell,Chris Butler,Anna Kendrick,0,0,0,0
The Green Butchers,7.3,Comedy,Anders Thomas Jensen,Nikolaj Lie Kaas,Mads Mikkelsen,0,0,0,0
Zombie Nightmare,2.6,Fantasy,John Fasano,Jack Bravman,Jon Mikl Thor,0,0,0,0
Major League II,5.7,Comedy,David S. Ward,Charlie Sheen,Tom Berenger,0,0,0,0
Calm with Horses,6.9,Crime,Nick Rowland,Cosmo Jarvis,Barry Keoghan,0,0,0,0
The Cobbler,5.8,Comedy,Tom McCarthy,Adam Sandler,Melonie Diaz,0,0,0,0
Summer '03,5.5,Comedy,Becca Gleason,Joey King,Paul Scheer,0,0,0,0
Grease Live!,7.3,Musical,Alex Rudzinski,Thomas Kail,Aaron Tveit,0,0,0,0
The Zero Theorem,6.1,Comedy,Terry Gilliam,Christoph Waltz,Lucas Hedges,0,0,0,0
Out of Time,6.5,Crime,Carl Franklin,Denzel Washington,Sanaa Lathan,0,0,0,0
Inside,6.8,Horror,Julien Maury,Alexandre Bustillo,Jean-Baptiste Tabourin,0,0,0,0
How I Live Now,6.5,Action,Kevin Macdonald,Saoirse Ronan,Tom Holland,0,0,0,0
Matchstick Men,7.3,Comedy,Ridley Scott,Nicolas Cage,Alison Lohman,0,0,0,0
The Relic,5.8,Horror,Peter Hyams,Penelope Ann Miller,Tom Sizemore,0,0,0,0
13 Assassins,7.6,Action,Takashi Miike,KÃ´ji Yakusho,Takayuki Yamada,0,0,0,0
"Mektoub, My Love: Canto Uno",6.5,Comedy,Abdellatif Kechiche,ShaÃ¯n Boumedine,OphÃ©lie Bau,0,0,0,0
Semi-Pro,5.8,Comedy,Kent Alterman,Will Ferrell,Woody Harrelson,0,0,0,0
The Darkest Hour,4.9,Action,Chris Gorak,Emile Hirsch,Olivia Thirlby,0,0,0,0
Stand and Deliver,7.3,Biography,RamÃ³n MenÃ©ndez,Edward James Olmos,Estelle Harris,0,0,0,0
Cannibal Ferox,5.2,Adventure,Umberto Lenzi,Giovanni Lombardo Radice,Lorraine De Selle,0,0,0,0
Outcast,4.6,Action,Nick Powell,Nicolas Cage,Hayden Christensen,0,0,0,0
From Straight A's to XXX,5.2,Biography,Vanessa Parise,Haley Pullos,Sasha Clements,0,0,0,0
Night on Earth,7.8,Comedy,Jim Jarmusch,Winona Ryder,Gena Rowlands,0,0,0,0
Ricki and the Flash,5.9,Comedy,Jonathan Demme,Meryl Streep,Kevin Kline,0,0,0,0
Vox Lux,5.9,Drama,Brady Corbet,Natalie Portman,Jude Law,0,0,0,0
Sinister 2,5.3,Horror,CiarÃ¡n Foy,James Ransone,Shannyn Sossamon,0,0,0,0
Trick 'r Treat,6.8,Comedy,Michael Dougherty,Anna Paquin,Brian Cox,0,0,0,0
A Teacher,4.8,Drama,Hannah Fidell,Lindsay Burdge,Will Brittain,0,0,0,0
Legacy of Lies,5,Action,Adrian Bol,Scott Adkins,Anna Butkevich,0,0,0,0
Bill,6.5,Comedy,Richard Bracewell,Mathew Baynton,Simon Farnaby,0,0,0,0
Harsh Times,6.9,Action,David Ayer,Christian Bale,Freddy RodrÃ­guez,0,0,0,0
Around the World in 80 Days,5.9,Action,Frank Coraci,Jackie Chan,Steve Coogan,0,0,0,0
Come and Find Me,5.7,Drama,Zack Whedon,Aaron Paul,Annabelle Wallis,0,0,0,0
Johnny English Reborn,6.3,Action,Oliver Parker,Rowan Atkinson,Rosamund Pike,0,0,0,0
The Bookshop,6.5,Drama,Isabel Coixet,Emily Mortimer,Bill Nighy,0,0,0,0
Race,7.1,Biography,Stephen Hopkins,Stephan James,Jason Sudeikis,0,0,0,0
London,6.5,Drama,Hunter Richards,Jessica Biel,Chris Evans,0,0,0,0
Unfriended: Dark Web,6,Horror,Stephen Susco,Colin Woodell,Stephanie Nogueras,0,0,0,0
Asterix & Obelix: Mission Cleopatra,6.7,Adventure,Alain Chabat,GÃ©rard Depardieu,Christian Clavier,0,0,0,0
Muppets Most Wanted,6.4,Adventure,James Bobin,Ricky Gervais,Ty Burrell,0,0,0,0
The Very Excellent Mr. Dundee,4.9,Comedy,Dean Murphy,Dorothy Adams,Trudy Ager,0,0,0,0
Absolute Power,6.7,Action,Clint Eastwood,Clint Eastwood,Gene Hackman,0,0,0,0
Do Not Split,7.5,Documentary,none,none,none,0,0,0,0
My Dinner with HervÃ©,7,Biography,Sacha Gervasi,Peter Dinklage,Jamie Dornan,0,0,0,0
The Lizzie McGuire Movie,5.5,Adventure,Jim Fall,Hilary Duff,Adam Lamberg,0,0,0,0
Higher Learning,6.5,Crime,John Singleton,Omar Epps,Kristy Swanson,0,0,0,0
Winter's Tale,6.2,Drama,Akiva Goldsman,Colin Farrell,Jessica Brown Findlay,0,0,0,0
Pathfinder,5.4,Action,Marcus Nispel,Karl Urban,Clancy Brown,0,0,0,0
6 Days,6.2,Action,Toa Fraser,Jamie Bell,Mark Strong,0,0,0,0
Used Cars,6.8,Comedy,Robert Zemeckis,Kurt Russell,Jack Warden,0,0,0,0
The Awakening,6.5,Horror,Nick Murphy,Rebecca Hall,Dominic West,0,0,0,0
One for the Money,5.3,Action,Julie Anne Robinson,Katherine Heigl,Jason O'Mara,0,0,0,0
The Secret Life of Bees,7.3,Drama,Gina Prince-Bythewood,Dakota Fanning,Jennifer Hudson,0,0,0,0
The Double Life of VÃ©ronique,7.8,Drama,Krzysztof Kieslowski,IrÃ¨ne Jacob,Wladyslaw Kowalski,0,0,0,0
Domino,5.9,Action,Tony Scott,Keira Knightley,Mickey Rourke,0,0,0,0
City of Ember,6.5,Adventure,Gil Kenan,Saoirse Ronan,Toby Jones,0,0,0,0
Flickering Lights,7.7,Action,Anders Thomas Jensen,SÃ¸ren Pilmark,Ulrich Thomsen,0,0,0,0
Dark Blue,6.6,Crime,Ron Shelton,Kurt Russell,Ving Rhames,0,0,0,0
Rim of the World,5.2,Action,McG,Jack Gore,Miya Cech,0,0,0,0
Inventing the Abbotts,6.4,Drama,Pat O'Connor,Liv Tyler,Jennifer Connelly,0,0,0,0
Volver,7.6,Comedy,Pedro AlmodÃ³var,PenÃ©lope Cruz,Carmen Maura,0,0,0,0
Impetigore,6.7,Drama,Joko Anwar,Tara Basro,Ario Bayu,0,0,0,0
Blindspotting,7.4,Comedy,Carlos LÃ³pez Estrada,Daveed Diggs,Rafael Casal,0,0,0,0
Whatever Works,7.1,Comedy,Woody Allen,Evan Rachel Wood,Larry David,0,0,0,0
Somewhere,6.3,Comedy,Sofia Coppola,Stephen Dorff,Elle Fanning,0,0,0,0
Everybody Knows,6.9,Crime,Asghar Farhadi,PenÃ©lope Cruz,Javier Bardem,0,0,0,0
Flowers in the Attic,6.1,Drama,Deborah Chow,Heather Graham,Ellen Burstyn,0,0,0,0
He Got Game,6.9,Drama,Spike Lee,Denzel Washington,Milla Jovovich,0,0,0,0
Unthinkable,7.1,Crime,Gregor Jordan,Samuel L. Jackson,Carrie-Anne Moss,0,0,0,0
King Lear,6.2,Drama,Richard Eyre,Jim Broadbent,Jim Carter,0,0,0,0
Hot Shots! Part Deux,6.6,Action,Jim Abrahams,Charlie Sheen,Lloyd Bridges,0,0,0,0
When Marnie Was There,7.7,Animation,Hiromasa Yonebayashi,James Simone,Kasumi Arimura,0,0,0,0
Texas Killing Fields,5.7,Crime,Ami Canaan Mann,Sam Worthington,Jeffrey Dean Morgan,0,0,0,0
Flesh+Blood,6.7,Adventure,Paul Verhoeven,Rutger Hauer,Jennifer Jason Leigh,0,0,0,0
Tuff Turf,6.2,Action,Fritz Kiersch,James Spader,Kim Richards,0,0,0,0
The World According to Garp,7.2,Comedy,George Roy Hill,Robin Williams,Mary Beth Hurt,0,0,0,0
Passion,5.3,Adventure,Brian De Palma,Rachel McAdams,Noomi Rapace,0,0,0,0
Uptown Girls,6.2,Comedy,Boaz Yakin,Brittany Murphy,Dakota Fanning,0,0,0,0
The Delta Force,5.7,Action,Menahem Golan,Chuck Norris,Lee Marvin,0,0,0,0
Seeking a Friend for the End of the World,6.7,Adventure,Lorene Scafaria,Steve Carell,Keira Knightley,0,0,0,0
The Money Pit,6.4,Comedy,Richard Benjamin,Tom Hanks,Shelley Long,0,0,0,0
Deliver Us from Eva,6.1,Comedy,Gary Hardwick,Gabrielle Union,LL Cool J,0,0,0,0
Tales from the Crypt: Demon Knight,6.7,Action,Ernest R. Dickerson,Billy Zane,William Sadler,0,0,0,0
Then Came You,7,Adventure,Peter Hutchings,Asa Butterfield,Maisie Williams,0,0,0,0
Hellbound: Hellraiser II,6.5,Horror,Tony Randel,Doug Bradley,Ashley Laurence,0,0,0,0
Transsiberian,6.7,Crime,Brad Anderson,Woody Harrelson,Emily Mortimer,0,0,0,0
Win a Date with Tad Hamilton!,5.6,Comedy,Robert Luketic,Kate Bosworth,Josh Duhamel,0,0,0,0
The Good Son,6.4,Drama,Joseph Ruben,Macaulay Culkin,Elijah Wood,0,0,0,0
Smiley Face,5.8,Comedy,Gregg Araki,Anna Faris,John Krasinski,0,0,0,0
One Chance,6.8,Biography,David Frankel,James Corden,Alexandra Roach,0,0,0,0
New York Minute,5,Comedy,Dennie Gordon,Mary-Kate Olsen,Ashley Olsen,0,0,0,0
Deadly Blessing,5.6,Horror,Wes Craven,Maren Jensen,Sharon Stone,0,0,0,0
Daughter of the Wolf,4.7,Action,David Hackl,Gina Carano,Richard Dreyfuss,0,0,0,0
Dead Man on Campus,6.1,Comedy,Alan Cohn,Tom Everett Scott,Mark-Paul Gosselaar,0,0,0,0
The Coldest Game,6.2,History,Lukasz Kosmicki,Bill Pullman,Lotte Verbeek,0,0,0,0
"See No Evil, Hear No Evil",6.9,Comedy,Arthur Hiller,Richard Pryor,Gene Wilder,0,0,0,0
Aquaslash,4.2,Horror,Renaud Gauthier,Nicolas Fontaine,Brittany Drisdelle,0,0,0,0
Fools Rush In,6.1,Comedy,Andy Tennant,Matthew Perry,Salma Hayek,0,0,0,0
Peggy Sue Got Married,6.4,Comedy,Francis Ford Coppola,Kathleen Turner,Nicolas Cage,0,0,0,0
Attack the Block,6.6,Action,Joe Cornish,John Boyega,Jodie Whittaker,0,0,0,0
Sherlock Gnomes,5.2,Animation,John Stevenson,Johnny Depp,James McAvoy,0,0,0,0
Jobs,6,Biography,Joshua Michael Stern,Ashton Kutcher,Dermot Mulroney,0,0,0,0
Annapolis,5.9,Drama,Justin Lin,James Franco,Jordana Brewster,0,0,0,0
The Shadow,6.1,Action,Russell Mulcahy,Alec Baldwin,John Lone,0,0,0,0
Tin Cup,6.4,Comedy,Ron Shelton,Kevin Costner,Rene Russo,0,0,0,0
Dragon: The Bruce Lee Story,7,Action,Rob Cohen,Jason Scott Lee,Lauren Holly,0,0,0,0
Ida,7.4,Drama,Pawel Pawlikowski,Agata Kulesza,Agata Trzebuchowska,0,0,0,0
Unicorn Store,5.5,Comedy,Brie Larson,Brie Larson,Samuel L. Jackson,0,0,0,0
Two Lovers,7,Drama,James Gray,Joaquin Phoenix,Gwyneth Paltrow,0,0,0,0
Mr. Holland's Opus,7.3,Drama,Stephen Herek,Richard Dreyfuss,Glenne Headly,0,0,0,0
Mission to Mars,5.7,Adventure,Brian De Palma,Tim Robbins,Gary Sinise,0,0,0,0
Shimmer Lake,6.3,Crime,Oren Uziel,Benjamin Walker,Rainn Wilson,0,0,0,0
Intolerable Cruelty,6.2,Comedy,Ethan Coen,Joel Coen,Catherine Zeta-Jones,0,0,0,0
America's Sweethearts,5.7,Comedy,Joe Roth,Julia Roberts,John Cusack,0,0,0,0
House of Flying Daggers,7.5,Action,Yimou Zhang,Ziyi Zhang,Takeshi Kaneshiro,0,0,0,0
From Up on Poppy Hill,7.4,Animation,GorÃ´ Miyazaki,Sarah Bolger,Chris Noth,0,0,0,0
Operation Condor,7.3,Action,Jackie Chan,Jackie Chan,Carol 'Do Do' Cheng,0,0,0,0
Wonder Park,5.9,Animation,Dylan Brown,Sofia Mali,Jennifer Garner,0,0,0,0
Friday the 13th: A New Beginning,4.8,Horror,Danny Steinmann,Melanie Kinnaman,John Shepherd,0,0,0,0
The Housemaid,6.4,Drama,Sang-soo Im,Jeon Do-yeon,Jung-jae Lee,0,0,0,0
One Wild Moment,6.3,Comedy,Jean-FranÃ§ois Richet,Vincent Cassel,FranÃ§ois Cluzet,0,0,0,0
Kama Sutra: A Tale of Love,6.1,Crime,Mira Nair,Naveen Andrews,Sarita Choudhury,0,0,0,0
Plus One,6.6,Comedy,Andrew Rhymer,Jeff Chan,Jack Quaid,0,0,0,0
Diary of a Nymphomaniac,5.7,Drama,Christian Molina,BelÃ©n Fabra,Leonardo Sbaraglia,0,0,0,0
Missing Link,6.7,Animation,Chris Butler,Hugh Jackman,David Walliams,0,0,0,0
Irrational Man,6.6,Comedy,Woody Allen,Joaquin Phoenix,Emma Stone,0,0,0,0
Cat People,6.2,Fantasy,Paul Schrader,Nastassja Kinski,Malcolm McDowell,0,0,0,0
After.Life,5.9,Drama,Agnieszka Wojtowicz-Vosloo,Christina Ricci,Liam Neeson,0,0,0,0
The Last Seduction,7,Crime,John Dahl,Linda Fiorentino,Peter Berg,0,0,0,0
The Big Wedding,5.6,Comedy,Justin Zackham,Robert De Niro,Diane Keaton,0,0,0,0
Caveman,5.8,Comedy,Carl Gottlieb,Ringo Starr,Dennis Quaid,0,0,0,0
The Traitor,7.1,Biography,Marco Bellocchio,Pierfrancesco Favino,Maria Fernanda CÃ¢ndido,0,0,0,0
Revenge,6.3,Action,Tony Scott,Kevin Costner,Anthony Quinn,0,0,0,0
Sir,7.7,Drama,Rohena Gera,Tillotama Shome,Vivek Gomber,0,0,0,0
Destination Wedding,6,Comedy,Victor Levin,Winona Ryder,Keanu Reeves,0,0,0,0
Hatchet,5.7,Comedy,Adam Green,Kane Hodder,Joel David Moore,0,0,0,0
Embrace of the Vampire,4.4,Horror,Anne Goursaud,Martin Kemp,Rebecca Ferratti,0,0,0,0
The Miracle,7.6,Comedy,Mahsun KirmizigÃ¼l,Mert Turak,Tansel Ãngel,0,0,0,0
Time to Hunt,6.3,Action,Sung-hyun Yoon,Lee Jehoon,Jae-hong Ahn,0,0,0,0
Family,6.3,Comedy,Laura Steinel,Taylor Schilling,Bryn Vale,0,0,0,0
American Woman,6.8,Drama,Jake Scott,Sienna Miller,Sky Ferreira,0,0,0,0
Jeepers Creepers 2,5.6,Horror,Victor Salva,Jonathan Breck,Ray Wise,0,0,0,0
Torque,4.1,Action,Joseph Kahn,Martin Henderson,Ice Cube,0,0,0,0
In the Name of the King: A Dungeon Siege Tale,3.8,Action,Uwe Boll,Jason Statham,Ron Perlman,0,0,0,0
Internal Affairs,6.5,Crime,Mike Figgis,Richard Gere,Andy Garcia,0,0,0,0
Wild Target,6.8,Action,Jonathan Lynn,Bill Nighy,Emily Blunt,0,0,0,0
Girls Just Want to Have Fun,6,Comedy,Alan Metter,Biff Yeager,Kristi Somers,0,0,0,0
The Lady in the Van,6.7,Biography,Nicholas Hytner,Maggie Smith,Alex Jennings,0,0,0,0
Broadcast News,7.2,Comedy,James L. Brooks,William Hurt,Albert Brooks,0,0,0,0
Birdemic: Shock and Terror,1.8,Horror,James Nguyen,Alan Bagh,Whitney Moore,0,0,0,0
Class,6,Comedy,Lewis John Carlino,Jacqueline Bisset,Rob Lowe,0,0,0,0
Bad Boys,7.2,Crime,Rick Rosenthal,Sean Penn,Reni Santoni,0,0,0,0
Ruby Sparks,7.2,Comedy,Valerie Faris,Jonathan Dayton,Zoe Kazan,0,0,0,0
The Last Summer,5.6,Comedy,William Bindley,K.J. Apa,Maia Mitchell,0,0,0,0
Center Stage,6.7,Drama,Nicholas Hytner,Amanda Schull,Ethan Stiefel,0,0,0,0
Behind The Candelabra,7,Biography,Steven Soderbergh,Michael Douglas,Matt Damon,0,0,0,0
Palo Alto,6.2,Drama,Gia Coppola,Emma Roberts,James Franco,0,0,0,0
Time Freak,5.8,Comedy,Andrew Bowler,Asa Butterfield,Sophie Turner,0,0,0,0
The Girlfriend Experience,5.5,Drama,Steven Soderbergh,Sasha Grey,Chris Santos,0,0,0,0
Brooklyn's Finest,6.7,Action,Antoine Fuqua,Richard Gere,Don Cheadle,0,0,0,0
Come to Daddy,6,Comedy,Ant Timpson,Elijah Wood,Stephen McHattie,0,0,0,0
A Babysitter's Guide to Monster Hunting,5.4,Comedy,Rachel Talalay,Tamara Smart,Oona Laurence,0,0,0,0
Playing for Keeps,5.7,Comedy,Gabriele Muccino,Gerard Butler,Jessica Biel,0,0,0,0
Strange Wilderness,5.3,Adventure,Fred Wolf,Steve Zahn,Allen Covert,0,0,0,0
Underground,8.1,Comedy,Emir Kusturica,Predrag 'Miki' Manojlovic,Lazar Ristovski,0,0,0,0
Beauty Shop,5.6,Comedy,Bille Woodruff,Queen Latifah,Alicia Silverstone,0,0,0,0
Rust Creek,5.9,Crime,Jen McGowan,Hermione Corfield,Jay Paulson,0,0,0,0
The Long Good Friday,7.6,Crime,John Mackenzie,Bob Hoskins,Helen Mirren,0,0,0,0
Malibu Express,4.8,Comedy,Andy Sidaris,Darby Hinton,Sybil Danning,0,0,0,0
Shadow,7,Action,Yimou Zhang,Chao Deng,Li Sun,0,0,0,0
High School Musical 3: Senior Year,4.8,Comedy,Kenny Ortega,Zac Efron,Vanessa Hudgens,0,0,0,0
Threads,8,Drama,Mick Jackson,Karen Meagher,Reece Dinsdale,0,0,0,0
Don't Let Go,6.3,Drama,Jacob Estes,David Oyelowo,Storm Reid,0,0,0,0
All Is True,6.2,Biography,Kenneth Branagh,Kenneth Branagh,Judi Dench,0,0,0,0
I Still Know What You Did Last Summer,4.7,Horror,Danny Cannon,Jennifer Love Hewitt,Freddie Prinze Jr.,0,0,0,0
Psycho,4.6,Horror,Gus Van Sant,Vince Vaughn,Anne Heche,0,0,0,0
Thank You for Your Service,6.5,Biography,Jason Hall,Miles Teller,Beulah Koale,0,0,0,0
Fat Girl,6.5,Drama,Catherine Breillat,AnaÃ¯s Reboux,Roxane Mesquida,0,0,0,0
Mientras duermes,7.2,Crime,Jaume BalaguerÃ³,Luis Tosar,Marta Etura,0,0,0,0
Jack and Jill,3.3,Comedy,Dennis Dugan,Adam Sandler,Katie Holmes,0,0,0,0
Jaws: The Revenge,3,Adventure,Joseph Sargent,Lorraine Gary,Lance Guest,0,0,0,0
The Last American Virgin,6.4,Comedy,Boaz Davidson,Lawrence Monoson,Diane Franklin,0,0,0,0
Lorenzo's Oil,7.3,Biography,George Miller,Nick Nolte,Susan Sarandon,0,0,0,0
Phenomena,6.8,Crime,Dario Argento,Jennifer Connelly,Donald Pleasence,0,0,0,0
Penelope,6.7,Comedy,Mark Palansky,Christina Ricci,James McAvoy,0,0,0,0
Pawn Sacrifice,7,Biography,Edward Zwick,Tobey Maguire,Liev Schreiber,0,0,0,0
Military Wives,6.5,Comedy,Peter Cattaneo,Kristin Scott Thomas,Sharon Horgan,0,0,0,0
The Heist of the Century,7.2,Action,Ariel Winograd,Guillermo Francella,Diego Peretti,0,0,0,0
Miracle in Cell No. 7,8.2,Comedy,Hwan-kyung Lee,Seung-ryong Ryu,So Won Kal,0,0,0,0
Blade of the Immortal,6.8,Action,Takashi Miike,Takuya Kimura,Hana Sugisaki,0,0,0,0
The Whole Truth,6.2,Crime,Courtney Hunt,Keanu Reeves,RenÃ©e Zellweger,0,0,0,0
100 Girls,5.8,Comedy,Michael Davis,Jonathan Tucker,Emmanuelle Chriqui,0,0,0,0
Ironclad,6.1,Action,Jonathan English,Paul Giamatti,Jason Flemyng,0,0,0,0
Friday After Next,5.8,Comedy,Marcus Raboy,Ice Cube,Mike Epps,0,0,0,0
The Exorcist III,6.4,Drama,William Peter Blatty,George C. Scott,Ed Flanders,0,0,0,0
The Hitcher,7.2,Action,Robert Harmon,Rutger Hauer,C. Thomas Howell,0,0,0,0
Airborne,6.3,Adventure,Rob Bowman,Shane McDermott,Seth Green,0,0,0,0
Catch and Release,6,Comedy,Susannah Grant,Jennifer Garner,Timothy Olyphant,0,0,0,0
Quartet,6.8,Comedy,Dustin Hoffman,Maggie Smith,Michael Gambon,0,0,0,0
Clown,5.7,Horror,Jon Watts,Andy Powers,Laura Allen,0,0,0,0
Half Brothers,6,Comedy,Luke Greenfield,JosÃ© ZÃºÃ±iga,Vincent Spano,0,0,0,0
Devil's Knot,6.1,Biography,Atom Egoyan,Colin Firth,Reese Witherspoon,0,0,0,0
The Little Death,7.1,Comedy,Josh Lawson,Bojana Novakovic,Josh Lawson,0,0,0,0
Wimbledon,6.3,Comedy,Richard Loncraine,Kirsten Dunst,Paul Bettany,0,0,0,0
Stand by Me Doraemon 2,7.5,Animation,Takashi Yamazaki,Ryuichi Yagi,Shihoko Hagino,0,0,0,0
To the Wonder,5.9,Drama,Terrence Malick,Ben Affleck,Olga Kurylenko,0,0,0,0
Fullmetal Alchemist,5.2,Action,Fumihiko Sori,RyÃ´suke Yamada,Tsubasa Honda,0,0,0,0
All the Boys Love Mandy Lane,5.5,Horror,Jonathan Levine,Amber Heard,Anson Mount,0,0,0,0
The Rookie,6.9,Drama,John Lee Hancock,Dennis Quaid,J.D. Evermore,0,0,0,0
54,5.9,Drama,Mark Christopher,Ryan Phillippe,Salma Hayek,0,0,0,0
Gigli,2.5,Comedy,Martin Brest,Ben Affleck,Jennifer Lopez,0,0,0,0
Flubber,5.3,Comedy,Les Mayfield,Robin Williams,Marcia Gay Harden,0,0,0,0
Lilya 4-Ever,7.8,Crime,Lukas Moodysson,Oksana Akinshina,Artyom Bogucharskiy,0,0,0,0
Baby Boy,6.4,Crime,John Singleton,Alexsandra Wright,Tyrese Gibson,0,0,0,0
Every Day,6.4,Drama,Michael Sucsy,Angourie Rice,Justice Smith,0,0,0,0
Casualties of War,7.1,Action,Brian De Palma,Michael J. Fox,Sean Penn,0,0,0,0
Z,5.5,Horror,Brandon Christensen,Keegan Connor Tracy,Jett Klyne,0,0,0,0
Mr. Mom,6.6,Comedy,Stan Dragoti,Michael Keaton,Teri Garr,0,0,0,0
Ice Age: The Meltdown,6.8,Animation,Carlos Saldanha,Ray Romano,John Leguizamo,0,0,0,0
The Strangers: Prey at Night,5.2,Horror,Johannes Roberts,Christina Hendricks,Martin Henderson,0,0,0,0
Compulsion,3.8,Drama,Craig Goodwill,Analeigh Tipton,Marta Gastini,0,0,0,0
Diary of a Wimpy Kid: Rodrick Rules,6.5,Comedy,David Bowers,Zachary Gordon,Devon Bostick,0,0,0,0
Punisher: War Zone,5.9,Action,Lexi Alexander,Ray Stevenson,Dominic West,0,0,0,0
Equals,6.1,Drama,Drake Doremus,Nicholas Hoult,Kristen Stewart,0,0,0,0
Half Nelson,7.2,Drama,Ryan Fleck,Ryan Gosling,Anthony Mackie,0,0,0,0
Fifty Shades of Black,3.5,Comedy,Michael Tiddes,Marlon Wayans,Kali Hawk,0,0,0,0
Just Like Heaven,6.7,Comedy,Mark Waters,Reese Witherspoon,Mark Ruffalo,0,0,0,0
Survive the Night,4.1,Action,Matt Eskandari,Bruce Willis,Chad Michael Murray,0,0,0,0
Smurfs: The Lost Village,6,Animation,Kelly Asbury,Demi Lovato,Rainn Wilson,0,0,0,0
Karla,5.5,Crime,Joel Bender,Laura Prepon,Misha Collins,0,0,0,0
Sleepwalkers,5.3,Fantasy,Mick Garris,Brian Krause,MÃ¤dchen Amick,0,0,0,0
The Quiet,6.2,Crime,Jamie Babbit,Camilla Belle,Elisha Cuthbert,0,0,0,0
Ali,6.8,Biography,Michael Mann,Will Smith,Jamie Foxx,0,0,0,0
Mean Girls 2,4.1,Comedy,Melanie Mayron,Meaghan Martin,Donn Lamkin,0,0,0,0
In the Loop,7.4,Comedy,Armando Iannucci,Tom Hollander,Peter Capaldi,0,0,0,0
The Tale of The Princess Kaguya,8,Animation,Isao Takahata,ChloÃ« Grace Moretz,James Caan,0,0,0,0
License to Drive,6.4,Comedy,Greg Beeman,Corey Haim,Corey Feldman,0,0,0,0
Spies Like Us,6.5,Adventure,John Landis,Chevy Chase,Dan Aykroyd,0,0,0,0
The Legacy of the Bones,6.3,Crime,Fernando GonzÃ¡lez Molina,Marta Etura,Nene,0,0,0,0
"New York, I Love You",6.2,Comedy,Yvan Attal,Fatih Akin,Allen Hughes,0,0,0,0
